Unnamed: 0,adress3,City3,zip_code3,bad3,bath3,Area3,parking3,AC3,Appliances3,price2,Dishwasher1,Refrigerator1,Disposal1,Microwave1,country
490,3215 EXPOSITION BLVD APT A23,"Austin, TX",78703.0,1,2,"1,208",2,Yes,"Dishwasher, Disposal, Exhaust Fan, Microwave, Free-standing Range, Refrigerator, Wine Refrigerator",394820.0,yes,no,no,no,USA
491,3212 RED RIVER ST APT 206,"Austin, TX",78705.0,2,1,841,47,Yes,"Electric Range, Microwave, Free-standing Range, Refrigerator",157928.0,no,no,no,no,USA
492,3212 RED RIVER ST APT 107,"Austin, TX",78705.0,1,1,644,47,Yes,"Electric Range, Microwave, Free-standing Range, Refrigerator",124680.0,no,no,no,no,USA
493,2701 SAINT EDWARDS CIR # B,"Austin, TX",78704.0,2,1,900,2,Yes,Gas Range,132992.0,no,no,no,no,USA
494,2810 JADEWOOD CT APT B,"Austin, TX",78748.0,2,2,"2,130",2,Yes,"Dishwasher, Disposal, Electric Cooktop, Oven, Refrigerator",145460.0,yes,no,no,no,USA
495,3212 RED RIVER ST APT 204,"Austin, TX",78705.0,1,1,644,47,Yes,"Electric Range, Microwave, Free-standing Range, Refrigerator",124680.0,no,no,no,no,USA
496,2500 LONGVIEW ST APT 223,"Austin, TX",78705.0,2,2,"1,161",2,Yes,"Dishwasher, Disposal, Range, Refrigerator, Washer/Dryer",245620.0,yes,no,no,no,USA
497,12001 VISTA PARKE DR APT 1103,"Austin, TX",78726.0,2,3,"1,482",2,Yes,"Dishwasher, Electric Range, Microwave, Electric Oven",190345.0,yes,no,no,no,USA
498,2235 E 6TH ST APT 417,"Austin, TX",78702.0,1,1,890,1,Yes,"Dishwasher, Dryer, Microwave, Oven, Refrigerator, Washer",166240.0,yes,no,no,no,USA
499,4702 DUVAL ST # A,"Austin, TX",78751.0,2,2,"1,983",2,Yes,"Dishwasher, Disposal, Cooktop Gas, Microwave, Free-standing Range, Refrigerator, Self Cleaning Oven, Water Heater-gas",199072.0,yes,no,no,no,USA
500,3845 RANCH ROAD 2222 APT 33,"Austin, TX",78731.0,2,3,"1,167",2,Yes,"Dishwasher, Disposal, Electric Cooktop, Microwave, Refrigerator, Water Heater-electric",170396.0,yes,no,no,no,USA
501,1211 W RIVERSIDE DR # 2D,"Austin, TX",78704.0,2,3,"1,464",2,Yes,"Built-in Gas Oven, Dishwasher, Disposal, Down Draft, Dryer, Exhaust Fan, Cooktop Gas, Gas Range, Microwave",565216.0,no,no,no,no,USA
502,8900 N INTERSTATE 35 APT 2157,"Austin, TX",78753.0,1,1,"204,288",1,Yes,"Built-in Refrigerator, Dishwasher, Disposal, Electric Range, Electric Oven",99661.0,no,no,no,no,USA
503,,,,—,—,"1,162",No Info,No Info,,0.0,no,no,no,no,USA
504,46 ROANOKE PKWY UPPR,"Buffalo, NY",14210.0,3,1,"1,276",No Info,No Info,1,91432.0,no,no,no,no,USA
505,61 JOHNSON PARK APT 7,"Buffalo, NY",14201.0,1,1,617,No Info,Yes,1,99744.0,no,no,no,no,USA
506,,,,6,3,"3,258",No Info,No Info,,0.0,no,no,no,no,USA
507,23 MADISON ST,"Buffalo, NY",14210.0,2,1,"2,539",No Info,No Info,1,70652.0,no,no,no,no,USA
508,77 JOHNSON PARK # 7,"Buffalo, NY",14201.0,—,1,400,No Info,Yes,1,66496.0,no,no,no,no,USA
509,294 S ELMWOOD AVE APT 4,"Buffalo, NY",14201.0,1,1,626,No Info,No Info,1,74808.0,no,no,no,no,USA
510,77 JOHNSON PARK # 1,"Buffalo, NY",14201.0,—,1,400,No Info,Yes,1,66496.0,no,no,no,no,USA
